File Name;Density;Euler Cycle Time;Hamilton Cycle Time
graph_10_nodes.txt;30;0,0000518998;0,0000072001
graph_20_nodes.txt;30;0,0001167001;0,0000066001
graph_30_nodes.txt;30;0,0002458000;0,0000086001
graph_40_nodes.txt;30;0,0004031002;0,0000099000
graph_50_nodes.txt;30;0,0006311000;0,0000119002
graph_60_nodes.txt;30;0,0008934001;0,0000140001
graph_70_nodes.txt;30;0,0012166000;0,0000160998
graph_80_nodes.txt;30;0,0016864000;0,0000196001
graph_90_nodes.txt;30;0,0022801999;0,0000246000
graph_100_nodes.txt;30;0,0026725000;0,0000374999
graph_110_nodes.txt;30;0,0031021999;0,0000277001
graph_120_nodes.txt;30;0,0038440002;0,0000294002
graph_130_nodes.txt;30;0,0046120998;0,0000333001
graph_140_nodes.txt;30;0,0050857000;0,0000337001
graph_150_nodes.txt;30;0,0061202000;0,0000342000
